"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"U Know What's Up (Jabair Edit)","Donnell Jones","8:45:22 PM","8:48:12 PM","00:02:50","2","","U Know What's Up (Jabair Edit)","116","Abm","2018",""
"U Know What's Up (Jabair Edit)","Donnell Jones","8:48:00 PM","8:49:03 PM","00:01:03","1","","U Know What's Up (Jabair Edit)","116","Abm","2018",""
"Juice (Know The Ledge) (LNRP Mixshow Edit) (Clean)","Eric B and Rakim","8:48:12 PM","8:51:27 PM","00:03:15","2","","Juice (Know The Ledge) (LNRP Mixshow Edit) (Clean)","116","Gm","1991","Old School"
"Instinctual (Morales Def Club Mix)","Imagination","8:49:03 PM","8:52:29 PM","00:03:26","1","","Instinctual (Morales Def Club Mix)","116","Ebm","1984","Classic House"
"When I Think of You (Janet)","Kutcorners","8:51:27 PM","8:56:07 PM","00:04:40","2","","When I Think of You (Janet)","116","E","2019",""
"Got To Get","Leila K ft Rob N Raz","8:52:29 PM","8:52:49 PM","00:00:20","1","","Got To Get","116","Fm","2003","Dance/80's"
"Love Sensation (116bpm) (Tom Moulton Remix) (Overstreet Edit) Clean CK Cut","Loleatta Holloway","8:52:49 PM","8:53:31 PM","00:00:42","1","","Love Sensation (116bpm) (Tom Moulton Remix) (Overstreet Edit) Clean CK Cut","116","Am","","Disco"
"Fever (Extended 12"" Mix)","Madonna","8:53:31 PM","8:53:45 PM","00:00:14","1","","Fever (Extended 12"" Mix)","116","Am","1993","Other"
"Fever (Extended 12"" Mix)","Madonna","8:53:51 PM","8:57:55 PM","00:04:04","1","","Fever (Extended 12"" Mix)","116","Am","1993","Other"
"Silent Morning (Intro Clean)","Noel","8:56:07 PM","8:59:22 PM","00:03:15","2","","Silent Morning (Intro Clean)","116","Em","1987","Freestyle"
"This Must Be The Place (Illo Edit Full)","Talking Heads","8:58:05 PM","9:02:06 PM","00:04:01","1","","This Must Be The Place (Illo Edit Full)","116","Em","","2012"
"Starchild [The Reflex Revision]","The Reflex","8:59:22 PM","8:59:49 PM","00:00:27","2","","Starchild [The Reflex Revision]","116","Dbm","2020",""
"Kiss (SE) (Punto G Edit)","Tom Jones","8:59:51 PM","9:03:13 PM","00:03:22","2","","Kiss (SE) (Punto G Edit)","116","Cm","1988","80s"
"The Player (Original Version)","First Choice","9:02:06 PM","9:02:25 PM","00:00:19","1","","The Player (Original Version)","117","Cm","","Other"
"Don't Need It (Intro - Clean)","Jamie Foxx","9:02:25 PM","9:03:55 PM","00:01:30","1","","Don't Need It (Intro - Clean)","117","Am","","Other"
"What You Won't Do For Love (Nick Bike QH)","Michael Boothman","9:03:13 PM","9:04:36 PM","00:01:23","2","","What You Won't Do For Love (Nick Bike QH)","117","Bm","","Other"
"Aso So","Miss Elliot And Fred Fish","9:03:55 PM","9:05:23 PM","00:01:28","1","","Aso So","117","Bm","2012",""
"Peg (Intro Clean)","Steely Dan","9:04:36 PM","9:05:38 PM","00:01:02","2","","Peg (Intro Clean)","117","Em","","Pop"
