"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Psycho Killer (SE) (MM Edit)","Talking Heads","4:36:24 PM","4:36:29 PM","00:00:05","2","","Psycho Killer (SE) (MM Edit)","123","Am","1977","70s Rock Pop Halloween"
"Ex For A Reason (Intro - Clean)","Summer Walker & City Girls ","4:36:29 PM","4:36:38 PM","00:00:09","2","","Ex For A Reason (Intro - Clean)","115","F#m","2021","R&B"
"Spirits in the Material World (MM Edit)","Sting & The Police","4:36:38 PM","4:36:40 PM","00:00:02","2","","Spirits in the Material World (MM Edit)","71","Am","1981","80s Rock Halloween"
"Superstition x Another Part of Me (SE) (MM Mashup Edit)","Stevie Wonder","4:36:40 PM","4:36:43 PM","00:00:03","2","","Superstition x Another Part of Me (SE) (MM Mashup Edit)","106","Ebm","1972","70s RnB 80s Pop Halloween "
"Abracadabra (Hook First) (MM Edit)","Steve Miller Band","4:36:43 PM","4:37:10 PM","00:00:27","2","","Abracadabra (Hook First) (MM Edit)","127","Am","1982","80s Rock Pop Top40 Halloween"
"I Need a (Super) Freak (QH) (MM Edit)","Sexual Harrassment","4:37:10 PM","4:38:02 PM","00:00:52","2","","I Need a (Super) Freak (QH) (MM Edit)","121","Fm","1983","80s Pop RnB Electronic Halloween"
"Best Friend (DJ Bizzon Best Friend Acap Intro) DIRTY","Saweetie","4:38:02 PM","4:40:14 PM","00:02:12","2","","Best Friend (DJ Bizzon Best Friend Acap Intro) DIRTY","94","G#m","",""
"Shout at the Devil (ACA In/Out) (SE) (MM Edit)","Motley Crue","4:38:59 PM","4:39:35 PM","00:00:36","1","","Shout at the Devil (ACA In/Out) (SE) (MM Edit)","95","Gm","1983","80s Rock Halloween"
"Return Of The Mack (DJ Bizzon Provide Bootleg) CLEAN","Mark Morrison","4:39:37 PM","4:41:34 PM","00:01:57","1","","Return Of The Mack (DJ Bizzon Provide Bootleg) CLEAN","95","Am","",""
"Shoulda Let You Go (DJ Bizzon Down On Me Richtastic Bootleg) CLEAN","Keyshia Cole","4:40:14 PM","4:40:30 PM","00:00:16","2","","Shoulda Let You Go (DJ Bizzon Down On Me Richtastic Bootleg) CLEAN","92","Am","",""
"Shoulda Let You Go (DJ Bizzon Down On Me Richtastic Bootleg) CLEAN","Keyshia Cole","4:40:30 PM","4:42:43 PM","00:02:13","2","","Shoulda Let You Go (DJ Bizzon Down On Me Richtastic Bootleg) CLEAN","92","Am","",""
"Element (DJ Bizzon Dholi Taro Bootleg) DIRTY","Kendrick Lamar","4:41:34 PM","4:43:41 PM","00:02:07","1","","Element (DJ Bizzon Dholi Taro Bootleg) DIRTY","95","Am","",""
"Like Whoa (DJ Bizzon KDagoat Bootleg) DIRTY","Black Rob","4:42:44 PM","4:44:47 PM","00:02:03","2","","Like Whoa (DJ Bizzon KDagoat Bootleg) DIRTY","93","Gm","",""
