"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Al Green - Let's Stay Together (DJ Son Edit)","DJ Son","7:40:31 PM","7:40:57 PM","00:00:26","1","","Al Green - Let's Stay Together (DJ Son Edit)","99","Dm","2021",""
"DWYCK (DJ A-L Impeach Edit)","Gang 2 the Starr, son.","7:41:05 PM","7:44:29 PM","00:03:24","1","","DWYCK (DJ A-L Impeach Edit)","99","Cm","2021",""
"I Get Lifted (SE) (Christyle Edit)","George McCrae","7:41:53 PM","7:45:43 PM","00:03:50","2","","I Get Lifted (SE) (Christyle Edit)","99","Gm","","80s"
"Funky Sensation (Intro Clean)","Gwen McCrae ","7:44:29 PM","7:47:23 PM","00:02:54","1","","Funky Sensation (Intro Clean)","99","Em","","R&B"
"Got Til It's Gone (MCB B&S Redrum)","Janet Jackson (feat Q-Tip)","7:45:43 PM","7:49:28 PM","00:03:45","2","","Got Til It's Gone (MCB B&S Redrum)","99","Cm","1998","Other"
"I Know What Girls Like (MCB Edit DIRTY)","Jay Z (feat Lil Kim)","7:47:23 PM","7:51:17 PM","00:03:54","1","","I Know What Girls Like (MCB Edit DIRTY)","99","Fm","",""
"Make Her Say (SE) (Marty Mar Edit)","Kid Cudi ft Kanye West & Common","7:49:28 PM","7:52:52 PM","00:03:24","2","","Make Her Say (SE) (Marty Mar Edit)","99","Bm","2010","Hip-Hop"
"Blueberry Faygo (Dirty)","Lil Mosey","7:51:17 PM","7:53:39 PM","00:02:22","1","","Blueberry Faygo (Dirty)","99","11m","2020","Hip Hop"
"Indo Smoke (LNRP Mixshow Edit) (Dirty)","Mista Grimm","7:52:55 PM","7:55:40 PM","00:02:45","2","","Indo Smoke (LNRP Mixshow Edit) (Dirty)","99","Fm","1993","Other"
"You're A Jerk (LNRP Mixshow Edit) (Clean)","New Boyz","7:54:19 PM","7:58:11 PM","00:03:52","1","","You're A Jerk (LNRP Mixshow Edit) (Clean)","99","Fm","2009","Old School"
"Late At Night (DJ Bizzon The Worst Bootleg) DIRTY","Roddy Ricch","7:55:40 PM","7:58:51 PM","00:03:11","2","","Late At Night (DJ Bizzon The Worst Bootleg) DIRTY","99","F#m","",""
"Roll With The Peaches","Van McCoy Tyner","7:58:11 PM","7:59:37 PM","00:01:26","1","","Roll With The Peaches","99","Bm","2012",""
"Poke It Out (MCB Mixshow Edit)","Wale (feat J Cole)","7:58:51 PM","8:00:40 PM","00:01:49","2","","Poke It Out (MCB Mixshow Edit)","99","G#m","2021","Other"
"We Trying To Stay Alive (SE) (Christyle Edit)","Wyclef Jean ft Pras & John Forte","7:59:37 PM","8:03:52 PM","00:04:15","1","","We Trying To Stay Alive (SE) (Christyle Edit)","99","Fm","1997","90s"
"Blue Jeans (LNRP Mixshow Edit) (Clean)","Yasmeen","8:00:40 PM","8:06:05 PM","00:05:25","2","","Blue Jeans (LNRP Mixshow Edit) (Clean)","99","Am","2002","Other"
"Who Do You Love (Intro Clean)","Bernard Wright","8:04:10 PM","8:04:32 PM","00:00:22","1","","Who Do You Love (Intro Clean)","100","Cm","1985","R&B"
